Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address
גן ורדים מחיר מנה,,אולמות וגנים,https://engaged.co.il/המלצות/גן-ורדים.html,,,03-9664747,https://ganvradim.co.il/,,https://ganvradim.co.il/wp-content/uploads/2021/07/logo-gan-vradim.png,,,"הרצל 150, ראשון לציון"
קויה | Coya Events מתחם אירועים במרכז,055-4528115,אולמות וגנים,https://engaged.co.il/המלצות/קויה-אירועים.html,,,03-303-5060,https://coya.co.il/,,,,71,"הרוקמים 27, חולון"
הרמוניה בגן | Harmonia Bagan גן אירועים,077-729-9192,אולמות וגנים,https://engaged.co.il/המלצות/הרמוניה-בגן.html,,,08-8682282,https://harmoniabagan.co.il,"https://www.google.com/maps/place/%D7%94%D7%A8%D7%9E%D7%95%D7%A0%D7%99%D7%94+%D7%91%D7%92%D7%9F/@31.785055,34.757021,17z/data=!4m8!3m7!1s0x1502b48200000001:0x2281111111111111!8m2!3d31.785055!4d34.757021!9m1!1b1!16s%2Fg%2F11c2100000?hl=iw&entry=ttu",https://harmoniabagan.co.il/wp-content/uploads/2023/07/logo-harmonia-bagan.png,4.3,2950,"האדום 28, פארק תעשיות כנות, גדרה, ישראל"
יער עין חמד | Ein Hemed אירועים בלב הטבע,077-2317903,אולמות וגנים,https://engaged.co.il/המלצות/עין-חמד.html,,,077-2319032,https://ein-hemed.co.il,,https://ein-hemed.co.il/wp-content/uploads/2020/07/logo-ein-hemed.png,,,"גן לאומי עין חמד, ירושלים, ישראל"
ים מקום לאירועים | YAM מקום לאירועים,077-2305474,אולמות וגנים,https://engaged.co.il/המלצות/ים-מקום-לאירועים.html,,,072-2158212,https://yam-events.co.il/,https://www.google.com/maps/search/?api=1&query=ים+מקום+לאירועים+YAM+מקום+לאירועים+Shtei+ha-Akhayot+St+2+Tel+Aviv-Yafo,,4.1,172,"Shtei ha-Akhayot St 2, Tel Aviv-Yafo, Tel Aviv District, Israel"
צל החורש | Tzhel Hahoresh גן אירועים,077-2306356,אולמות וגנים,https://engaged.co.il/המלצות/צל-החורש.html,,,054-5503301,https://www.tzhelhahoresh.co.il,https://www.google.com/search?q=%D7%A6%D7%9C+%D7%94%D7%97%D7%95%D7%A8%D7%A9+Tzhel+Hahoresh+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+Google+Maps+reviews,,4.4,1288,בית ברל
דסטינו | Destino גן אירועים במושב שורש,077-2306488,אולמות וגנים,https://engaged.co.il/המלצות/דסטינו.html,,,02-533-3135,https://destino.co.il,,,,,"מושב שורש, ישראל"
סינקו אירועים | Synco Events מתחם לחתונות בוטיק,,אולמות וגנים,https://engaged.co.il/המלצות/סינקו-אירועים.html,,,052-9124520,https://synco.co.il/,,,,,"רח' ענטין 10, רחובות"
חצר המלכה מתחם אירועים,077-9977945,אולמות וגנים,https://engaged.co.il/המלצות/חצר-המלכה.html,,,08-3819071,https://www.h-m.co.il/,"https://www.google.com/maps/place/%D7%97%D7%A6%D7%A8+%D7%94%D7%9E%D7%9C%D7%9B%D7%94/@31.768677,34.747191,17z/data=!4m8!3m7!1s0x1502e1511218521b:0x524142146200000!8m2!3d31.768677!4d34.747191!9m1!1b1!16s%2Fg%2F11c26_111_",https://www.h-m.co.il/wp-content/uploads/2023/04/logo-hazar-hamalka.png,4.4,3100,"אדום 2, צומת כנות, כנות, 8381500, Israel"
say אירועים | SAY Events מתחם אירועי בוטיק,077-9972393,אולמות וגנים,https://engaged.co.il/המלצות/say-אירועים.html,,,052-511-1311,https://say-events.co.il,"https://www.google.com/maps/search/?api=1&query=SAY+Events+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99+%D7%91%D7%95%D7%98%D7%99%D7%A7,Moshe+Sharett+19,+Rishon+LeZion",,4.5,684,"משה שרת 19, ראשון לציון"
הבוסתן פינה בטבע | Boaz Arnon גן ארועים,,אולמות וגנים,https://engaged.co.il/המלצות/הבוסתן-פינה-בטבע.html,,,054-4923396,https://habustan.co.il,,https://habustan.co.il/wp-content/uploads/2020/07/logo-habustan.png,,,נווה צוף
אמארה | Amare גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/אמארה-אירועים.html,,,050-3707079,http://www.amare.co.il,,,,,"רחוב האלופים 1, נס ציונה"
הרמוזו | Hermozo גן אירועים,077-8053210,אולמות וגנים,https://engaged.co.il/המלצות/הרמוזו-החדש-אירועים.html,,,052-9095176,https://hermozo.co.il,,https://www.zooz360.co.il//templates/zooz360/user_files/VTour/VTour359/vtour/panos/point1.tiles/preview.jpg,,,"HaShdera HaMerkazit 16, Modi'in Maccabim-Re'ut, 71700, Israel"
קסאנאדו | Xanadu אירועים,077-729-6633,אולמות וגנים,https://engaged.co.il/המלצות/קסאנאדו.html,,,+972 3-934-5500,xanadu.co.il,"https://www.google.com/maps/search/?api=1&query=קסאנאדו+Xanadu+אירועים+בן+ציון+גליס+50,+פתח+תקווה",,4.0,1589,"בן ציון גליס 50, פתח תקווה, ישראל"
דריה | DARYA אירועי בוטיק,077-8046770,אולמות וגנים,https://engaged.co.il/המלצות/דריה.html,,,052-8166477,https://daryaevents.co.il,,,,208,"העמל 7, בת ים"
אטורה | Atura גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/אטורה.html,,,077-2308703,https://atura.co.il,,,,618,"מיני ישראל, דואר נע שמשון, לאטרון 9976200"
לארה Lara Events,,אולמות וגנים,https://engaged.co.il/המלצות/לארה.html,,,077-6706696,https://lara-events.co.il/,,,,,"ירוק, כנות, Israel"
העמק | haemek event בית רגעים וזכרונות,,אולמות וגנים,https://engaged.co.il/המלצות/העמק-אירועים.html,,,053-3302390,https://www.haemek-events.co.il/,,,,,"צבי הנחל 1, פארק תעשיות, עמק חפר, נתניה"
ירוק על המים | Yarok Events גן אירועים,077-2312482,אולמות וגנים,https://engaged.co.il/המלצות/ירוק-על-המים.html,,,08-9418851,https://www.yarok.co.il,,https://static.wixstatic.com/media/07d89b_02127264627443178044702a20164802~mv2.jpg,,,"קיבוץ חולדה, ד.נ עמק שורק 76842"
אמורה | Amore גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/אמורה-אירועים.html,,,03-375-2507,amore-events.co.il,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9E%D7%95%D7%A8%D7%94+Amore+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%91%D7%9F+%D7%A6%D7%99%D7%95%D7%9F+%D7%92%D7%9C%D7%99%D7%A1+28,+%D7%A4%D7%AA%D7%97+%D7%AA%D7%A7%D7%95%D7%95%D7%94&query_place_id=ChIJ02122178961276867_647497462204147168_n",,4.4,621,"בן ציון גליס 28, פתח תקווה"
אפקה,,אולמות וגנים,https://engaged.co.il/המלצות/אפקה-אירועים.html,,,03-7442333,https://afeka-events.co.il/,https://www.google.com/maps/search/?api=1&query=אפקה+אירועים+בני+אפרים+228+תל+אביב+יפו,,,,"בני אפרים 228, תל אביב יפו"
טראסק | Trask אירועים על הים בתל אביב,,אולמות וגנים,https://engaged.co.il/המלצות/טראסק.html,,,077-2303188,https://www.trask.co.il/,"https://www.google.com/maps/place/%D7%98%D7%A8%D7%90%D7%A1%D7%A7+%7C+Trask+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%A2%D7%9C+%D7%94%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91/@32.097076,34.768644,17z/data=!4m8!3m7!1s0x151d4b8100000001:0x2281111111111111!8m2!3d32.097076!4d34.768644!9m1!1b1!16s%2Fg%2F11c21_1111?hl=iw&entry=ttu",https://www.trask.co.il/wp-content/uploads/2023/07/trask-logo.svg,4.3,1038,"יוסף יקותיאלי 6, נמל תל אביב"
אגדתא | Agadata,,אולמות וגנים,https://engaged.co.il/המלצות/אגדתא.html,,,08-858-6665,https://agadata.com,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%92%D7%93%D7%AA%D7%90+Agadata+%D7%9E%D7%95%D7%A2%D7%A6%D7%94+%D7%90%D7%96%D7%95%D7%A8%D7%99%D7%AA+%D7%99%D7%95%D7%90%D7%91,+%D7%A6%D7%95%D7%9E%D7%AA+%D7%A8%D7%90%D7%9D",,,2712,"מועצה אזורית יואב, צומת ראם, ד.נ 78000"
גן הפקאן | Gan Hapekan מתחם אירוח רמת הכובש,,אולמות וגנים,https://engaged.co.il/המלצות/גן-הפקאן.html,,,+972 9-747-4447,https://ganhapekan.co.il/,"https://www.google.com/maps/search/?api=1&query=גן+הפקאן+מתחם+אירוח+רמת+הכובש+רמת+הכובש,+4493000,+ישראל",https://ganhapekan.co.il/wp-content/uploads/2023/07/Gan-hapekan-song-dark-green.png,4.3,1401,"רמת הכובש, 4493000, ישראל"
אמיליה גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/אמיליה.html,,,077-9978167,https://emilia-events.co.il,https://www.google.com/maps/search/אמיליה+גן+אירועים+יעקב+נחמיאס+1+ראשון+לציון,,,637,"יעקב נחמיאס 1, ראשון לציון"
תרין | Tarin מתחם אירועים וכנסים,077-9971685,אולמות וגנים,https://engaged.co.il/המלצות/תרין.html,,,0554539324,https://www.tarin.co.il/,"https://www.google.com/maps/place/%D7%AA%D7%A8%D7%99%D7%9F+-+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%95%D7%9B%D7%A0%D7%A1%D7%99%D7%9D/@31.942796,34.801625,17z/data=!4m8!3m7!1s0x1502b21000000001:0x221319c522222222!8m2!3d31.942796!4d34.801625!9m1!1b1!16s%2Fg%2F11f0101010",https://www.tarin.co.il/wp-content/uploads/2023/04/tarin-logo-new.png,4.4,1675,"רח׳ אליעזר מזל 6, ראשון לציון"
גבריאל | Gavriel מתחם אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/גבריאל-אירועים.html,,,077-2306092,https://www.gavri-el.co.il,"https://www.google.com/maps/place/%D7%92%D7%91%D7%A8%D7%99%D7%90%D7%9C+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D/@31.905648,34.789197,17z/data=!4m8!3m7!1s0x1502b70422111111:0x1111111111111111!8m2!3d31.905648!4d34.789197!9m1!1b1!16s%2Fg%2F11b7111111",https://www.gavri-el.co.il/wp-content/uploads/2023/02/logo.png,4.6,1000+,"הספורט 4, צומת בית עובד, נס ציונה"
אריא | Arya גן אירועים בשוהם,077-8050052,אולמות וגנים,https://engaged.co.il/המלצות/אריא-שוהם.html,,,03-518-1818,,,,,,"ברוש 2, שוהם"
גני דל וינו | Del Vino פתח תקווה,,אולמות וגנים,https://engaged.co.il/המלצות/גני-דל-וינו.html,,,03-934-7035,,,,,,"הירקונים 67, פתח תקווה"
ממילא | Mamila events גן אירועים,077-2306467,אולמות וגנים,https://engaged.co.il/המלצות/ממילא.html,,,08-6990066,mamila.co.il,https://www.google.com/maps/search/%D7%9E%D7%9E%D7%99%D7%9C%D7%90+Mamila+events+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%90%D7%A9%D7%93%D7%95%D7%93,,4.2,354,"האורגים 3, אשדוד"
ריין אירועים | Rain גן אירועים חדש בראשון לציון,077-9971114,אולמות וגנים,https://engaged.co.il/המלצות/ריין-ראשון.html,,,077-8054122,https://rain-events.co.il,,,,,"לזרוב 23, ראשון לציון"
טזורו | Tesoro גן אירועים,077-2305009,אולמות וגנים,https://engaged.co.il/המלצות/טזורו-אירועים.html,,,055-4339224,https://www.tesoro.co.il/,,,,,"משה סנה 199, רמת השרון"
הגבעה | Hagiva גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/הגבעה-ברנר-אירועים.html,,,03-3094071,https://www.hagiva-event.co.il/,,,,,"קיבוץ גבעת ברנר, Israel"
עדיה | ADIA Evants אירועים וכנסים,077-8040229,אולמות וגנים,https://engaged.co.il/המלצות/עדיה.html,,,08-9478444,adia.co.il,,,4.5,1764,"שידלובסקי 3, יבנה"
ואסקו | Vasco בית לאירועים,077-2305002,אולמות וגנים,https://engaged.co.il/המלצות/ואסקו.html,,,03-6854444,https://www.vascoevents.co.il,https://www.google.com/maps/search/?api=1&query=%D7%95%D7%90%D7%A1%D7%A7%D7%95+Vasco+%D7%91%D7%99%D7%AA+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%94%D7%9E%D7%9C%D7%90%D7%9B%D7%94+47+%D7%97%D7%95%D7%9C%D7%95%D7%9F,https://static.wixstatic.com/media/133d1c_50170094773a4935939223126759535b~mv2.png,4.5,610,"המלאכה 47, חולון"
אלוהה אירועים | Aloha,055-4311282,אולמות וגנים,https://engaged.co.il/המלצות/אלוהה.html,,,050-4242420,https://aloha-events.co.il,,,,,"פנחס בלקני 6, נתניה"
אמדו | Amado הרצליה,077-2309592,אולמות וגנים,https://engaged.co.il/המלצות/אמדו-הרצליה.html,,,077-2307497,https://amado.co.il,"https://www.google.com/maps/place/Amado/@32.164392,34.821361,17z/data=!4m8!1m2!2m1!1sאמדו+Amado+הרצליה!3m4!1s0x151d3947b0e0d69f:0x397753171329124!8m2!3d32.164392!4d34.821361?hl=iw&entry=ttu",https://amado.co.il/wp-content/uploads/2023/03/amado-logo.png,4.4,1038,"ז'בוטינסקי 5, קאנטרי קלאב הרצליה"
לילות קסומים | Lelot Ksumim גן אירועים בחפץ חיים,077-7299535,אולמות וגנים,https://engaged.co.il/המלצות/לילות-קסומים.html,,,08-8593879,https://lelot-ksumim.co.il/,,,,,קיבוץ חפץ חיים בסמוך לצומת כנות
נסיה | Nesya מתחם חלומות ואירועים,077-2305003,אולמות וגנים,https://engaged.co.il/המלצות/נסיה.html,,,08-8535353,https://nesyaevent.co.il/,"https://www.google.com/maps/place/%D7%A0%D7%A1%D7%99%D7%94+-+%D7%9E%D7%AA%D7%97%D7%9D+%D7%97%D7%9C%D7%95%D7%9E%D7%95%D7%AA+%D7%95%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D/@31.777098,34.802143,17z/data=!4m8!3m7!1s0x1502b00000000000:0x1234567890abcdef!8m2!3d31.777098!4d34.802143!9m1!1b1!16s%2Fg%2F11c21_2222?hl=iw&entry=ttu",https://nesyaevent.co.il/wp-content/uploads/2024/01/logo-nesya.png,4.3,3368,"צומת ראם, על מפגש כביש 40 וכביש 3 (סמוך ליציאה מכביש 6)"
58 גן אירועים | Fifty-8 גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/58-גן-אירועים.html,,,050-2585858,https://www.fifty8.co.il,https://www.google.com/maps/search/58+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+Fifty-8+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%94%D7%99%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D+58+%D7%A4%D7%AA%D7%97+%D7%AA%D7%A7%D7%95%D7%95%D7%94,"https://static.wixstatic.com/media/2a222c_1117135805174521921c226227652c7f~mv2.png/v1/fill/w_200,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/58%20logo.png",4.5,2169,"HaYarkonim St 58, Petah Tikva, Israel"
איסט תל אביב | East tlv,077-4447232,אולמות וגנים,https://engaged.co.il/המלצות/איסט-תל-אביב.html,,,055-4539274,http://east-tlv.co.il/,,,,,"מיטב 13, תל אביב"
יד חרוצים,,אולמות וגנים,https://engaged.co.il/המלצות/יד-חרוצים-אירועים.html,,,03-7378338,,,,,356,"יד חרוצים 11, תל אביב יפו"
אלה אירועים | Ella Events גן אירועים,077-2308922,אולמות וגנים,https://engaged.co.il/המלצות/אלה-אירועים.html,,,055-453-9380,https://ella-events.co.il,"https://www.google.com/maps/place/%D7%90%D7%9C%D7%94+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%E2%80%AD/@31.910971,34.793898,17z/data=!4m8!3m7!1s0x1502b11111111111:0x1111111111111111!8m2!3d31.910971!4d34.793898!9m1!1b1!16s%2Fg%2F11c6222222?hl=iw&entry=ttu",https://ella-events.co.il/wp-content/uploads/2023/04/ella-logo-new.png,4.2,1494,"האלופים 1, נס ציונה"
מרקטו אירועים | Mercato CITY.LOVE.EVENTS,077-8051613,אולמות וגנים,https://engaged.co.il/המלצות/מרקטו-אירועים.html,,,+972 50-832-2807,https://mercato-events.co.il,,,,,"הכשרת הישוב 3, ראשון לציון"
סיטרוס אירועים | Citrus,,אולמות וגנים,https://engaged.co.il/המלצות/סיטרוס-גן-אירועים.html,,,09-8991331,https://www.citrus-events.co.il/,"https://www.google.com/maps/search/סיטרוס+אירועים+Citrus+ספיר+1,+אבן+יהודה",https://www.citrus-events.co.il/wp-content/uploads/2021/04/412124.jpg,4.6,1200,"הספיר 1, אבן יהודה"
טאי אירועים | tai אולם בוטיק בראשון לציון,077-9979466,אולמות וגנים,https://engaged.co.il/המלצות/טאי-אירועים.html,,,077-2310602,https://tai-events.com,https://www.google.com/maps/search/?api=1&query=טאי+אירועים+זאב+שלנג+4+ראשון+לציון,,4.9,314,"זאב שלנג 4, ראשון לציון"
קלואה | kalua אירועים על הים,055-4528111,אולמות וגנים,https://engaged.co.il/המלצות/קלואה.html,,,053-5983934,,,,,,"הטיילת 10, אשדוד"
גנני כנען,,אולמות וגנים,https://engaged.co.il/המלצות/גנני-כנען.html,,,,https://www.ganeycnaan.co.il/,https://www.google.com/maps/search/גני+כנען+קיבוץ+נען,,,,קיבוץ נען
ווקו | Voco גן ארועים פתוח,,אולמות וגנים,https://engaged.co.il/המלצות/ווקו.html,,,050-4245283,vocoevents.co.il,,,,,"אלטלנה 8, ראשון לציון"
הבית הירוק | Green house אולם אירועים בתל אביב,,אולמות וגנים,https://engaged.co.il/המלצות/הבית-הירוק.html,,,03-9666434,,,,,,"Dr George Wise St 24, Tel Aviv-Yafo, Israel"
טירה על הים | Tira By The Sea מתמחים בחתונת בוטיק בים,077-2305001,אולמות וגנים,https://engaged.co.il/המלצות/טירה-על-הים.html,,,08-9301868,https://www.tira-events.co.il,"https://www.google.com/maps/place/%D7%98%D7%99%D7%A8%D7%94+%D7%A2%D7%9C+%D7%94%D7%99%D7%9D%E2%80%AD/@31.794688,34.634676,17z/data=!4m8!3m7!1s0x1502b11111111111:0x1111111111111111!8m2!3d31.794688!4d34.634676!9m1!1b1!16s%2Fg%2F11f0000000",,4.5,558,"1 Mafkura, Ashdod"
שאטו | Shato אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/שאטו-אירועים-בילו.html,,,08-9418000,https://www.shato.co.il,"https://www.google.com/maps/place/%D7%A9%D7%90%D7%98%D7%95+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%E2%80%AD/@31.873204,34.814394,17z/data=!4m8!3m7!1s0x1502b79c0b0b0b0b:0x1502b79c0b0b0b0b!8m2!3d31.873204!4d34.814394!9m1!1b1!16s%2Fg%2F11c2b79c0b0b0b0b?hl=iw",,4.2,1910,"בוסי סנט ג'ורג' 13, קריית עקרון"
בדולינה | Badolina אירועים,077-2319669,אולמות וגנים,https://engaged.co.il/המלצות/בדולינה.html,,,09-8890055,https://badolina.co.il,"https://www.google.com/maps/place/%D7%91%D7%93%D7%95%D7%9C%D7%99%D7%A0%D7%94+-+%D7%90%D7%95%D7%9C%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%91%D7%A9%D7%A8%D7%95%D7%9F/@32.193026,34.880347,17z/data=!4m8!3m7!1s0x151d374400000001:0x1234567890abcdef!8m2!3d32.193026!4d34.880347!9m1!1b1!16s%2Fg%2F11b6_1234?hl=iw&entry=ttu",https://badolina.co.il/wp-content/uploads/2023/04/badolina-logo.png,4.3,848,"כליל החורש 1, רעננה"
לאגו | LAGO - אולם אירועים,077-9974970,אולמות וגנים,https://engaged.co.il/המלצות/לאגו.html,,,,http://www.lago-events.co.il/,,https://lago-events.co.il/wp-content/uploads/2023/07/lago-logo-white.png,,,"המאה ועשרים 6, ראשון לציון"
יער - מושב אורה | Yaar events,077-2306474,אולמות וגנים,https://engaged.co.il/המלצות/יער.html,,,02-501-1700,https://yaar-events.co.il,,,,,"Yasmin St 1, Ora, Israel"
אדאו בכנות | Adeo דף המלצות ומידע,,אולמות וגנים,https://engaged.co.il/המלצות/אדאו.html,,,052-9095491,https://www.adeo.co.il,,https://www.adeo.co.il/wp-content/uploads/2023/07/logo-adeo-new.png,,,"האדום 3, צומת כנות"
יניב מאורסים מאורסות | yaniv baruh חתונות הכל כלול,055-4547293,אולמות וגנים,https://engaged.co.il/המלצות/יניב-ברוך-מפיק.html,,,050-4447814,http://yanivbaruch.co.il,,https://orlykayam.com/wp-content/uploads/2020/07/yaniv-baruch-logo-1.jpg,,,"יוסף לישנסקי 4, ראשון לציון"
אדמה אירועים | ADAMA רגעים של אושר,,אולמות וגנים,https://engaged.co.il/המלצות/אדמה.html,,,08-8565060,https://adama-events.co.il,,https://adama-events.co.il/wp-content/uploads/2020/04/adama-logo.png,,,"האומן 9, אשדוד"
אהובת הספן | Ahuvat Hasapan אירועים,077-9978021,אולמות וגנים,https://engaged.co.il/המלצות/אהובת-הספן.html,,,054-9491175,https://ahuvat-hasapan.co.il/,,https://ahuvat-hasapan.co.il/wp-content/uploads/2022/03/logo-ahuvat-hasapan.png,,910,"יונה הנביא 2, אשדוד"
לואר | Luar Events אולם אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/לואר.html,,,08-6766111,luarevents.com,"https://www.google.com/maps/search/?api=1&query=לואר+Luar+Events+אולם+אירועים+השדרה+המרכזית+15,+מודיעין",,,1001,"השדרה המרכזית 15, מודיעין"
תיאודור | theodor חתונות מיוחדות בהרצליה,077-9968776,אולמות וגנים,https://engaged.co.il/המלצות/fabiano-group.html,,,09-8660999,https://theodor.co.il,"https://www.google.com/maps/place/%D7%AA%D7%99%D7%90%D7%95%D7%93%D7%95%D7%A8+%7C+theodor+%D7%97%D7%AA%D7%95%D7%A0%D7%95%D7%AA+%D7%9E%D7%99%D7%95%D7%97%D7%93%D7%95%D7%AA+%D7%91%D7%94%D7%A8%D7%A6%D7%9C%D7%99%D7%94/@32.164348,34.848831,17z/data=!4m8!3m7!1s0x151d392300000001:0x1111111111111111!8m2!3d32.164348!4d34.848831!9m1!1b1!16s%2Fg%2F11f0000000",https://theodor.co.il/wp-content/uploads/2023/03/theodor-logo.png,4.6,108,"ז'בוטינסקי 15, הרצליה"
"טאו אירועים | Tao Events דף מידע, המלצות וכתבות.",,אולמות וגנים,https://engaged.co.il/המלצות/טאו-כנות.html,,,077-9979290,https://www.tao-events.co.il/,,"https://static.wixstatic.com/media/9d0124_17409279430c4061811802315264311c~mv2.png/v1/fill/w_200,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/TAO%20%D7%9C%D7%95%D7%92%D7%95.png",,,ירוק 64 כנות
אווניו | Avenue מרכז אירועים וקונגרסים,073-7588572,אולמות וגנים,https://engaged.co.il/המלצות/אווניו-אירועים.html,,,03-9715000,https://avenue-events.co.il,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%95%D7%A0%D7%99%D7%95+Avenue+%D7%9E%D7%A8%D7%9B%D7%96+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%95%D7%A7%D7%95%D7%A0%D7%92%D7%A8%D7%A1%D7%99%D7%9D+%D7%93%D7%A8%D7%9A+%D7%99%D7%A6%D7%97%D7%A7+%D7%A9%D7%93%D7%94+1,+%D7%A7%D7%A8%D7%99%D7%AA+%D7%A9%D7%93%D7%94+%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94",https://avenue-events.co.il/wp-content/uploads/2021/08/logo.png,8.8,3386,"דרך יצחק שדה 1, קריית שדה התעופה"
